Anos;Total;Veículos ligeiros de passageiros;Veículos ligeiros de mercadorias;Veículos pesados
jan/19;19 125;15 684;2 915;526
fev/19;21 950;18 858;2 621;471
mar/19;28 551;24 900;3 190;461
abr/19;24 663;21 121;3 154;388
mai/19;26 659;22 724;3 469;466
jun/19;29 743;25 305;3 666;772
jul/19;21 788;18 433;3 138;217
ago/19;16 035;12 435;3 293;307
set/19;18 036;14 558;2 710;768
out/19;19 047;15 649;2 917;481
nov/19;19 533;16 400;2 842;291
dez/19;22 698;17 726;4 539;433
jan/20;17 504;14 423;2 595;486
fev/20;23 038;20 263;2 484;291
mar/20;12 399;10 596;1 557;246
abr/20;3 803;2 749;948;106