Trimestre/ano;PIB a preços constantes;Taxa de variação homóloga;Taxa de variação trimestral
1.º T de 2016;46 137;1,4;0,5
2.º T de 2016;46 278;1,4;0,3
3.º T de 2016;46 822;2,4;1,2
4.º T de 2016;47 252;2,9;0,9
1.º T de 2017;47 813;3,6;1,2
2.º T de 2017;48 050;3,8;0,5
3.º T de 2017;48 389;3,3;0,7
4.º T de 2017;48 777;3,2;0,8
1.º T de 2018;49 070;2,6;0,6
2.º T de 2018;49 463;2,9;0,8
3.º T de 2018;49 683;2,7;0,4
4.º T de 2018;49 903;2,3;0,4
1.º T de 2019;50 237;2,4;0,7
2.º T de 2019;50 488;2,1;0,5
3.º T de 2019;50 644;1,9;0,3
4.º T de 2019;51 023;2,2;0,7
1.º T de 2020;;-2,4;-3,9